Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
STABILITÉ,Tarik Azzouz,Chaque Jour,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12501576,3200796091
10 ans d’âge,Timal,10 ans d'âge,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR852400070,3167511741
HADES,Digba LaPurple,HADES,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872400047,3126988861
CADEAU (feat. La Mano 1.9),Himra,JEUNE & RICHE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,AUGBT2405923,2896902961
JIMMY CHOO,Trigga,JIMMY CHOO,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872400048,3124934971
Dans le 16,ILAL,ILAL,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72401935,3128931041
NAS,Didi B,NAS,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2400352,3112634581
Hobbit,Davy One,Hobbit,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR5GK2400410,3117280781
4 Decembre,Lyele,BAKED,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12463885,3122690551
Jetlag,Many Santana,PHÉNOMÈNE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12456426,3117287621
GINGER JUICE,Jeune Lion,RULE MI HEART,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12456177,3092735671
MONA LISA,CJ Tell'm,MONA LISA,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD6R2400008,3092721431
J’men fous de tout,Dertay,J’men fous de tout,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92442230,3080512841
Movie,L2B ,Movie,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72400080,3038510331
Badman,Sonik,Badman,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12464043,3128931591
C Réel,Trigga,C Réel,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872400035,3076457111
Plata,Meulo,Plata,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2400351,3117337681
Madre Mia,Franglish,Prime,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2400030,2651394862
LEVEL (La bande à Béni),BÉNI BASS DJ,LEVEL (La bande à Béni),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872400034,3074253631
BBL,ESMEY,BBL,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2400309,3086557041
Emma,Sonik,Emma,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12454682,3066306941
L'OSEILLE,M87,L'OSEILLE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12439198,3003606661
HOUDINI,Jeune Lion,HOUDINI,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12455233,3050562511
AYO,Kiko,AYO,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72401471,3029503941
I'm Sorry,La Mano 1.9,I'M SORRY,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12445732,3000940961
GUIBSON,Shotto Guapo,GUIBSON,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12448343,3029715151
Paiement refusé,DJ Erise,Paiement refusé,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12437908,2898163611
PUNGU,CJ Tell'm,PUNGU,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD6R2400002,2887158402
QUÉ LO QUE,Kaaris,QUÉ LO QUE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12432483,2850526092
AH T'ES DANS CA,DJ Hamida,A la bien mix party - 10 ans après,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12433578,2867394612
Dès l'matin,Zokush,Dès l'matin,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12408654,2832536052
Ça va,Teevii,Ça va,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12425285,2874480402
Business Man,Liim’s,Business Man,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12430839,2836993692
Touché Coulé,L2B ,Touché Coulé,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72400010,2757069511
KONGOLESE SOUS BBL,Theodora,KONGOLESE SOUS BBL,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12448663,3005445881
Esclave de la mélodie,JEY BROWNIE,Mélodie céleste,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRX762421570,2800603752
Supa Woman,Teevii,Supa Woman,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872400001,2980295961
Margiela,Many Santana,PHE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12428480,2835986372
MALHEUR,DAVINHOR,Karaba Partie I,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72202771,2759768601
Likelemba,DMC SOUTH,Likelemba,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAIF2417478,2761733121
Matata,Vegedream,Matata,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12403408,2722944942
Petit génie,Jungeli,Petit génie,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,QMBZ92393247,2527530731
Casanova,Soolking,Casanova,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92324651,2352206125
Position,Franglish,Prime,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2400040,2651394872
Christian Dior,JKSN,Christian Dior,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAHQ2368569,2630605302
Tokarev,DMC SOUTH,Amour Respect Loyauté,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAIN2414164,2927386181
RETOUR AU LOBBY,Shotto Guapo,RETOUR AU LOBBY,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2400089,2716147712
Back 2 Dos,Nono La Grinta,Back 2 Dos,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,USZXT2454005,2704046662
MALL,Jeune Lion,S/O DIEU,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12412015,2694050922
Go Champions,Suspect 95,Go Champions - AFCON 2023,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2400056,2651575782
Plus comme avant,Dertay,"Désolé, d'être moi.",Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92402380,2645614612
T’étais où ?,Jungeli,T’étais où ?,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12404550,2636043252
BINKS,DAVINHOR,BINKS,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72400186,2649774532
Shatta,Liim’s,Shatta,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12364046,2577767552
Câlin,Teevii,Câlin,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12333959,2506542851
Dans le cœur,Dertay,Dans le cœur,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92402020,2626337052
Fin du show,Delka,Fin du show,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12349684,2526306581
Din Kou Din,Toofan,Stamina,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD6R2300028,2496275081
Descends,BÉNI BASS DJ,Descends,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12346714,2465792515
Vie de Biggie et Pac,Nyda,Acte II : Le loup dans la bergerie,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12344322,2444400865
Tout donner,Genezio,Tout donner,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2300010,2434929285
Boss de la série,Delka,Boss de la série,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12340747,2431682025
Bolingo,Franglish,MOOD3 (Glish),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2301110,2389784625
Bendo,Teevii,Bendo,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12249953,2294673475
Plata,BÉNI BASS DJ,Plata,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12351109,2492693911
Mon coco,Dertay,Mon coco,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92314480,2226825737
RECETTE,Jnr Slice,Junior,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72300864,2216878837
Batcha,GAZY MP,Batcha,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92303980,2126502377
Filon,H.LA DROGUE,Drogue,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12252423,2184926317
LA BAGARRE,Woorrup,LA BAGARRE,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR0Z50110451,2712181831
Ma Came,Dertay,Ma Came,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,QZTB62233405,2105808597
Le monde est méchant,Niska,Le monde est méchant,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12136158,1524843072
Abonnés (feat. Rsko & Fresh laDouille),MALTY 2BZ,Enfant de Malheur,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12252894,2147993207
Société Suspecte,Suspect 95,Société Suspecte,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CIUM72300003,2105784847
H,H.LA DROGUE,H,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12242629,2089499587
Goulag,Kaaris,Goulag,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2001080,1007250992
Bébé,MHD,19,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1800270,555913082
Afro Trap Part. 11 (King Kong),MHD,Afro Trap Part. 11 (King Kong),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV2100010,1382728252
Kuluna,Mig,02 Géné,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12115469,3221510881
Afro Trap Pt. 4 (Fais le mouv),MHD,MHD,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1600030,122927590
Genkidama,Niska,Genkidama,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12230323,2027374417
"Afro Trap, Pt. 7 (La Puissance) (Major Lazer Remix)",MHD,Afro Trap (Mad Decent Remixes),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1800010,454626342
Ça canarde,Bolémvn,Anarchiste,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12115391,1424430442
Afro Trap Pt. 8 (Never),MHD,Afro Trap Part. 8 (Never),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1600230,142820632
NO HOOK 2,1PLIKÉ140,ARRÊTEZ-LE !,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72100532,1296725762
Afro Trap Pt. 10 (Moula Gang),MHD,Afro Trap Pt. 10 (Moula Gang),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1800020,453014142
Bobby Shmurda,Bolémvn,Bobby Shmurda,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12202123,1664135752
Tue ça,Koba LaD,Cartel : volume 1 & 2,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72100919,1578183912
Afro Trap Pt. 9 (Faut les wet),MHD,Afrotrap (Vol. 1),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1700010,382272411
Binta,Alonzo,Avenue de St Antoine,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM71600834,125089724
Bandit Chef,Niska,Bandit Chef,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12018398,1013331392
Bebeto,Guy2bezbar,Bebeto,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAEZ2046569,1016052182
Bella,MHD,Bella,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1800190,528587951
Bodyguard,MHD,Bodyguard,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1800090,513579862
Booska purge (Freestyle Booska-P),Negrito,Booska purge (Freestyle Booska-P),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8FB2100500,1223148162
Daddy chocolat,Koba LaD,Cartel : volume 1,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72100976,1404533132
KASSAV (feat. Tiakola),Gazo,KASSAV (feat. Tiakola),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12028149,1198840162
Kiname (feat. Booba),Fally Ipupa,Kiname (feat. Booba),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRZ041601510,137516412
Mapess,Niska,Mapess,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12134325,1512809192
Jolie,Negrito,Le Bien ou Le Mal,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8FB2120720,1545984882
44,Niska,Le monde est méchant,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12136157,1539878042
Sagacité,MHD,Mansa,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV2100140,1431321032
140G,Niska,Le monde est méchant,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12136620,1539878082
Maya Maya,DAVINHOR,Indomptable,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72200238,1692403657
A Kele Nta,MHD,MHD,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV1600070,122927594
La Calle,Franglish,MOOD2 (Vibe),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2200470,1692387017
Sapés comme jamais (feat. Niska) (Pilule bleue),GIMS,Mon coeur avait raison,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR7U61400704,106095102
Biberon,Franglish,Biberon,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2001010,971398232
Mozart Capitaine Jackson (Episode 1),Leto,Mozart Capitaine Jackson (Episode 1),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12127632,1456219252
NEYMAR JR,Green Montana,NOSTALGIA+,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72200093,1715728927
92i,SDM,OCHO (Deluxe),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72102322,1578206422
Pétard Max,Bolémvn,Pétard Max,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12137223,1544148532
Picsou,Dadju,Picsou,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD3G2200110,1700310157
Dieu merci,Dadju,Poison ou Antidote (Miel Book Edition),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD3G2001030,1389360752
Puissant,Didi B,Puissant,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CIUM72000290,989047002
Raspoutine,Ziak,Raspoutine,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCAES2037062,908709092
Reine,Dadju,Gentleman 2.0,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCADB1727917,429974992
Santa Barbara,Cheu-B,Santa Barbara,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12121112,1455285992
Qwer,Kalash,Tombolo,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8FB2202720,1694479577
Ça débite,BÉNI BASS DJ,Ça débite,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12351157,2506513151
PO NA BISO,ALBI X,PO NA BISO,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,DECE72302924,2477249151
Tout Laisse,Eljay,Tout Laisse,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2300720,2553363752
On est prêt,Kaaris,AFCON 2023,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,CI2DY2300790,2585588412
Tout est bon,Dj Babs,Tout est bon,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,TCADR1850902,538381872
PAS RÂ,Jeune Lion,PAS RÂ,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12346842,2465810115
Too Good To You,Dany Synthé,Too Good To You,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W11713512,422901382
Ça va aller,Booba,Trône,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8R61700012,434591592
Trucs de choses,Franglish,Trucs de choses,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2100020,1439318902
Tu le sais,Kalash,Tu le sais,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8FB2119500,1427127252
Slide,Franglish,Vibe,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRD8V2100412,1424420432
À la folie,Booba,Trône,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8R61700010,434591622
Chic choc,Bolémvn,Chic choc,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12210328,1700312047
C'est puissant,Mayo,Yoski,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72101853,1518136262
Pololo,MHD,Pololo,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV2100070,1424430402
Chérie coco (feat. Naza),Joé Dwet Filé,Calypso,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR7JB2100200,1382654462
DKR,Booba,DKR,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR8R61600004,133165774
Tout gâcher,MHD,Mansa,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR3IV2100170,1431321062
Yakalelo,SDM,Yakalelo,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72000816,1007167682
Billets mauves,KeBlack,Billets mauves,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR96X2187973,1376891412
